index,totalMovies,avgBudget,worldWide,num_one,preAdRevenue
Adventure,"2,857",72069918,181368345526,Star Wars Ep. VII: The Force Awakens,181296275608
Action,"3,029",61899099,158166019677,Avengers: Endgame,158104120578
Drama,"11,876",19652562,107656670295,Bohemian Rhapsody,107637017733
Comedy,"6,215",22199268,91875302394,The Hangover Part II,91853103126
Thriller/Suspense,"3,189",28077430,53192263409,Titanic,53164185979
Horror,"2,666",14500554,29165003419,It,29150502865
Romantic Comedy,"1,488",24491702,25594982889,Mei Ren Yu,25570491187
Musical,458,30860780,14146588703,Frozen,14115727923
Documentary,"5,343",3157930,4949747737,Michael Jackson's This Is It,4946589807
Western,326,26831359,3905069532,Django Unchained,3878238173
Black Comedy,341,14507474,3768163709,The Wolf of Wall Street,3753656235
Concert/Performance,767,9365385,938742849,Justin Bieber: Never Say Never,929377464
Multiple Genres,193,1660000,284727175,Andhadhun,283067175
Reality,7,0,68754726,Benpao Ba! Xiongdi,68754726
Educational,8,0,0,Instructional,0
